iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability,preference_ratio,opponent_age
2,1490000,0.49666666666666665,1,H1,0.8,2,0.5,1.6,0
2,1500000,0.5,0,Scr,0.2,2,0.5,0.4,
2,1500000,0.5,1,H1,0.8,2,0.5,1.6,0
2,1510000,0.5033333333333333,0,Scr,0.2,2,0.5,0.4,
2,1510000,0.5033333333333333,1,H1,0.8,2,0.5,1.6,0
2,1520000,0.5066666666666667,0,Scr,0.2,2,0.5,0.4,
2,1520000,0.5066666666666667,1,H1,0.8,2,0.5,1.6,0
2,1530000,0.51,0,Scr,0.2,2,0.5,0.4,
2,1530000,0.51,1,H1,0.8,2,0.5,1.6,0
2,1540000,0.5133333333333333,0,Scr,0.2,2,0.5,0.4,
2,1540000,0.5133333333333333,1,H1,0.8,2,0.5,1.6,0
2,1550000,0.5166666666666667,0,Scr,0.2,2,0.5,0.4,
2,1550000,0.5166666666666667,1,H1,0.8,2,0.5,1.6,0
2,1560000,0.52,0,Scr,0.2,2,0.5,0.4,
2,1560000,0.52,1,H1,0.8,2,0.5,1.6,0
2,1570000,0.5233333333333333,0,Scr,0.2,2,0.5,0.4,
2,1570000,0.5233333333333333,1,H1,0.8,2,0.5,1.6,0
2,1580000,0.5266666666666666,0,Scr,0.2,2,0.5,0.4,
2,1580000,0.5266666666666666,1,H1,0.8,2,0.5,1.6,0
2,1590000,0.53,0,Scr,0.2,2,0.5,0.4,
2,1590000,0.53,1,H1,0.8,2,0.5,1.6,0
2,1600000,0.5333333333333333,0,Scr,0.2,2,0.5,0.4,
2,1600000,0.5333333333333333,1,H1,0.8,2,0.5,1.6,0
2,1610000,0.5366666666666666,0,Scr,0.2,2,0.5,0.4,
2,1610000,0.5366666666666666,1,H1,0.8,2,0.5,1.6,0
2,1620000,0.54,0,Scr,0.2,2,0.5,0.4,
2,1620000,0.54,1,H1,0.8,2,0.5,1.6,0
2,1630000,0.5433333333333333,0,Scr,0.2,2,0.5,0.4,
2,1630000,0.5433333333333333,1,H1,0.8,2,0.5,1.6,0
2,1640000,0.5466666666666666,0,Scr,0.2,2,0.5,0.4,
2,1640000,0.5466666666666666,1,H1,0.8,2,0.5,1.6,0
2,1650000,0.55,0,Scr,0.2,2,0.5,0.4,
2,1650000,0.55,1,H1,0.8,2,0.5,1.6,0
2,1660000,0.5533333333333333,0,Scr,0.2,2,0.5,0.4,
2,1660000,0.5533333333333333,1,H1,0.8,2,0.5,1.6,0
2,1670000,0.5566666666666666,0,Scr,0.2,2,0.5,0.4,
2,1670000,0.5566666666666666,1,H1,0.8,2,0.5,1.6,0
2,1680000,0.56,0,Scr,0.2,2,0.5,0.4,
2,1680000,0.56,1,H1,0.8,2,0.5,1.6,0
2,1690000,0.5633333333333334,0,Scr,0.2,2,0.5,0.4,
2,1690000,0.5633333333333334,1,H1,0.8,2,0.5,1.6,0
2,1700000,0.5666666666666667,0,Scr,0.2,2,0.5,0.4,
2,1700000,0.5666666666666667,1,H1,0.8,2,0.5,1.6,0
2,1710000,0.57,0,Scr,0.2,2,0.5,0.4,
2,1710000,0.57,1,H1,0.8,2,0.5,1.6,0
2,1720000,0.5733333333333334,0,Scr,0.2,2,0.5,0.4,
2,1720000,0.5733333333333334,1,H1,0.8,2,0.5,1.6,0
2,1730000,0.5766666666666667,0,Scr,0.2,2,0.5,0.4,
2,1730000,0.5766666666666667,1,H1,0.8,2,0.5,1.6,0
2,1740000,0.58,0,Scr,0.2,2,0.5,0.4,
