iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability
2,1910000,0.955,1,H1,0.8,2,0.5
2,1920000,0.96,0,Scr,0.2,2,0.5
2,1920000,0.96,1,H1,0.8,2,0.5
2,1930000,0.965,0,Scr,0.2,2,0.5
2,1930000,0.965,1,H1,0.8,2,0.5
2,1940000,0.97,0,Scr,0.2,2,0.5
2,1940000,0.97,1,H1,0.8,2,0.5
2,1950000,0.975,0,Scr,0.2,2,0.5
2,1950000,0.975,1,H1,0.8,2,0.5
2,1960000,0.98,0,Scr,0.2,2,0.5
2,1960000,0.98,1,H1,0.8,2,0.5
2,1970000,0.985,0,Scr,0.2,2,0.5
2,1970000,0.985,1,H1,0.8,2,0.5
2,1980000,0.99,0,Scr,0.2,2,0.5
2,1980000,0.99,1,H1,0.8,2,0.5
2,1990000,0.995,0,Scr,0.2,2,0.5
2,1990000,0.995,1,H1,0.8,2,0.5
2,2000000,1.0,0,Scr,0.2,2,0.5
2,2000000,1.0,1,H1,0.8,2,0.5
2,2010000,1.005,0,Scr,0.2,2,0.5
2,2010000,1.005,1,H1,0.8,2,0.5
3,10000,0.005,0,Scr,0.2,3,0.3333333333333333
3,10000,0.005,1,H1,0.24562500000000004,3,0.3333333333333333
3,10000,0.005,2,H2,0.5543750000000001,3,0.3333333333333333
3,20000,0.01,0,Scr,0.2,3,0.3333333333333333
3,20000,0.01,1,H1,0.25944045810194827,3,0.3333333333333333
3,20000,0.01,2,H2,0.5405595418980517,3,0.3333333333333333
3,30000,0.015,0,Scr,0.2,3,0.3333333333333333
3,30000,0.015,1,H1,0.2952856930840012,3,0.3333333333333333
3,30000,0.015,2,H2,0.5047143069159988,3,0.3333333333333333
3,40000,0.02,0,Scr,0.2,3,0.3333333333333333
3,40000,0.02,1,H1,0.2665511721919879,3,0.3333333333333333
3,40000,0.02,2,H2,0.5334488278080122,3,0.3333333333333333
3,50000,0.025,0,Scr,0.2,3,0.3333333333333333
3,50000,0.025,1,H1,0.2915626505355782,3,0.3333333333333333
3,50000,0.025,2,H2,0.5084373494644219,3,0.3333333333333333
3,60000,0.03,0,Scr,0.2,3,0.3333333333333333
3,60000,0.03,1,H1,0.2678897358079493,3,0.3333333333333333
3,60000,0.03,2,H2,0.5321102641920508,3,0.3333333333333333
3,70000,0.035,0,Scr,0.2,3,0.3333333333333333
3,70000,0.035,1,H1,0.2754498140128167,3,0.3333333333333333
3,70000,0.035,2,H2,0.5245501859871833,3,0.3333333333333333
3,80000,0.04,0,Scr,0.19999999999999996,3,0.3333333333333333
3,80000,0.04,1,H1,0.25058045797601775,3,0.3333333333333333
3,80000,0.04,2,H2,0.5494195420239822,3,0.3333333333333333
3,90000,0.045,0,Scr,0.19999999999999996,3,0.3333333333333333
3,90000,0.045,1,H1,0.2580039317157495,3,0.3333333333333333
3,90000,0.045,2,H2,0.5419960682842505,3,0.3333333333333333
3,100000,0.05,0,Scr,0.2,3,0.3333333333333333
3,100000,0.05,1,H1,0.27978431609924653,3,0.3333333333333333
3,100000,0.05,2,H2,0.5202156839007535,3,0.3333333333333333
3,110000,0.055,0,Scr,0.2,3,0.3333333333333333
3,110000,0.055,1,H1,0.2581334796440415,3,0.3333333333333333
3,110000,0.055,2,H2,0.5418665203559585,3,0.3333333333333333
3,120000,0.06,0,Scr,0.2,3,0.3333333333333333
3,120000,0.06,1,H1,0.27930705174897724,3,0.3333333333333333
3,120000,0.06,2,H2,0.5206929482510229,3,0.3333333333333333
3,130000,0.065,0,Scr,0.2,3,0.3333333333333333
3,130000,0.065,1,H1,0.2746768458117751,3,0.3333333333333333
3,130000,0.065,2,H2,0.525323154188225,3,0.3333333333333333
3,140000,0.07,0,Scr,0.2,3,0.3333333333333333
3,140000,0.07,1,H1,0.2757485594874765,3,0.3333333333333333
3,140000,0.07,2,H2,0.5242514405125236,3,0.3333333333333333
3,150000,0.075,0,Scr,0.2,3,0.3333333333333333
3,150000,0.075,1,H1,0.2636015432096826,3,0.3333333333333333
3,150000,0.075,2,H2,0.5363984567903175,3,0.3333333333333333
3,160000,0.08,0,Scr,0.2,3,0.3333333333333333
3,160000,0.08,1,H1,0.2625268171661341,3,0.3333333333333333
3,160000,0.08,2,H2,0.537473182833866,3,0.3333333333333333
3,170000,0.085,0,Scr,0.2,3,0.3333333333333333
3,170000,0.085,1,H1,0.27337764189606223,3,0.3333333333333333
3,170000,0.085,2,H2,0.5266223581039379,3,0.3333333333333333
3,180000,0.09,0,Scr,0.2,3,0.3333333333333333
3,180000,0.09,1,H1,0.26284619924395586,3,0.3333333333333333
3,180000,0.09,2,H2,0.5371538007560441,3,0.3333333333333333
3,190000,0.095,0,Scr,0.2,3,0.3333333333333333
3,190000,0.095,1,H1,0.26377994752004924,3,0.3333333333333333
3,190000,0.095,2,H2,0.5362200524799507,3,0.3333333333333333
3,200000,0.1,0,Scr,0.2,3,0.3333333333333333
3,200000,0.1,1,H1,0.2630903020815163,3,0.3333333333333333
3,200000,0.1,2,H2,0.5369096979184838,3,0.3333333333333333
3,210000,0.105,0,Scr,0.2,3,0.3333333333333333
3,210000,0.105,1,H1,0.2721370702307945,3,0.3333333333333333
3,210000,0.105,2,H2,0.5278629297692056,3,0.3333333333333333
3,220000,0.11,0,Scr,0.2,3,0.3333333333333333
3,220000,0.11,1,H1,0.27056078496026975,3,0.3333333333333333
3,220000,0.11,2,H2,0.5294392150397303,3,0.3333333333333333
3,230000,0.115,0,Scr,0.2,3,0.3333333333333333
3,230000,0.115,1,H1,0.2731930873452169,3,0.3333333333333333
3,230000,0.115,2,H2,0.5268069126547831,3,0.3333333333333333
3,240000,0.12,0,Scr,0.2,3,0.3333333333333333
3,240000,0.12,1,H1,0.2625944011356547,3,0.3333333333333333
3,240000,0.12,2,H2,0.5374055988643454,3,0.3333333333333333
3,250000,0.125,0,Scr,0.2,3,0.3333333333333333
3,250000,0.125,1,H1,0.27116831586409273,3,0.3333333333333333
3,250000,0.125,2,H2,0.5288316841359073,3,0.3333333333333333
3,260000,0.13,0,Scr,0.2,3,0.3333333333333333
3,260000,0.13,1,H1,0.2738624170285607,3,0.3333333333333333
3,260000,0.13,2,H2,0.5261375829714394,3,0.3333333333333333
3,270000,0.135,0,Scr,0.2,3,0.3333333333333333
3,270000,0.135,1,H1,0.27143555712541056,3,0.3333333333333333
3,270000,0.135,2,H2,0.5285644428745895,3,0.3333333333333333
3,280000,0.14,0,Scr,0.2,3,0.3333333333333333
3,280000,0.14,1,H1,0.2611868787502704,3,0.3333333333333333
3,280000,0.14,2,H2,0.5388131212497296,3,0.3333333333333333
3,290000,0.145,0,Scr,0.2,3,0.3333333333333333
3,290000,0.145,1,H1,0.2739236700522885,3,0.3333333333333333
3,290000,0.145,2,H2,0.5260763299477116,3,0.3333333333333333
3,300000,0.15,0,Scr,0.2,3,0.3333333333333333
3,300000,0.15,1,H1,0.2704024487492179,3,0.3333333333333333
3,300000,0.15,2,H2,0.5295975512507821,3,0.3333333333333333
3,310000,0.155,0,Scr,0.2,3,0.3333333333333333
3,310000,0.155,1,H1,0.2608574317223459,3,0.3333333333333333
3,310000,0.155,2,H2,0.5391425682776542,3,0.3333333333333333
3,320000,0.16,0,Scr,0.2,3,0.3333333333333333
3,320000,0.16,1,H1,0.2703340677083001,3,0.3333333333333333
